First Two Words,Rest of Question
what year,was the first miss america pageant?
what kind,of guitar does lindsey buckingham play?
what college,did joe namath attend?
what city,uses gmt?
where does,the zambezi river begin?
what county,is duluth minnesota in?
what zip,code is chicago il?
what did,andrew johnson die from?
who is,the governor of oregon 2012?
what city,is mt st helens in?
what is,janelle monae famous for?
who created,the ancient language in alagaesia?
what four,regions make up the united kingdom?
what does,time warner own?
where did,the roma people come from?
where was,anne hathaway born?
who did,bryce dallas howard play in eclipse?
who owns,audi 2011?
who started,twa airlines?
what are,the two dialects of chinese?
who was,michael jackson in the wiz?
where is,washington dc located what state?
what state,in chicago in?
what is,the major language spoken in greece?
who wrote,luke bryan's drunk on you?
what time,is it in japan 24 hour clock?
what state,is barack obama senator for?
what kinda,music does john mayer sing?
what will,happen to greece when it defaults?
what boudicca,do?
where did,sir john a macdonald die?
what kind,of money in aruba?
what is,the date today in perth?
what country,does spanish come from?
what is,south korea's capital city?
who was,darth vader in episode 3?
when does,ellen air?
what does,obama have a degree in?
who is,the political leader of japan?
what country,did giovanni da verrazano represent?
when was,saint nicholas died?
what city,is the jacksonville jaguars from?
when is,the last time the raiders won a championship?
where is,the time zone in florida?
who created,youtube and when?
what happened,to farrah and her baby daddy?
what are,the names of snoopy brothers and sisters?
what is,the laguna beach theme song?
what is,thomas edison's most famous for?
what does,jennifer lopez do?
what country,was dmitri mendeleev born?
where did,pres obama go to high school?
what money,system does australia use?
when did,herman cain run for president?
who is,caroline spencer jr s father?
when is,the us open tennis mens final 2011?
where does,nick diaz fight?
where did,st louis tornado hit?
what did,whitney houston die of?
what movies,has selena gomez starred in?
what to,do in midland tx this weekend?
who played,freddy in friday the 13th?
what contribution,did hooke made to science in 1665?
what did,eli whitney invented?
what movies,has angelina jolie in?
what radio,station does uga football come on?
who owns,the chrysler corporation?
what country,christopher columbus from?
who was,michael j fox?
what movies,did jenna dewan play in?
what is,the bosnian language?
where is,shawn johnson gymnast from?
what kind,of money does the ivory coast use?
what writers,influenced charles dickens?
where is,roger federer from sui?
where did,the florida marlins?
what movies,did taylor lautner star in?
what did,nixon do when he was president?
what language,did the egyptians?
who plays,sarah marshall?
what did,skinner believe?
when did,babe ruth start playing baseball in the mlb?
who plays,marlo on the wire?
what is,the zip code for inglewood california?
who was,the first actor to play edward quartermaine?
where did,the founder of google go to college?
what made,roald dahl famous?
what school,did martin luther king jr attend?
who did,lenny kravitz marry?
what is,the second official language of canada?
what is,the language called in russia?
what does,the name austin stand for?
who does,hank baskett play for now nov 2010?
what team,did ronaldo play for?
what to,do today in birmingham uk?
who was,timothy mcveigh accomplice?
how old,is the current president of north korea?
what language,do the people speak in australia?
what college,is in greeley colorado?
what countries,does the niger river flow through?
what is,the official state flower of arizona?
where is,pyramids located in egypt?
what games,did bungie make?
who does,cristiano ronaldo play for 2012?
what type,of laws did mary harris jones demand?
what language,do the speak in switzerland?
where to,stay in rome neighborhood?
what style,of art did van gogh produce?
what are,portuguese people considered?
what movies,did angelina jolie star in?
where was,ancient carthage located?
what type,of paintings did marc chagall do?
what movies,did howard shore wrote the music for?
what does,chilean people speak?
what were,frederick douglass achievements?
who plays,kenneth on 30 rock?
what is,zip code for davenport iowa?
where is,riley's farm located?
who is,the current coach of the new york knicks?
what was,the name of william shakespeare's children?
what currency,does jamaica accept?
who played,howard stern in private parts?
when countries,joined the european union?
which team,does ronaldinho play for?
where is,eric cantor from?
what is,the currency of sweden called?
what school,did cam newton go to before auburn?
when did,ny giants win the superbowl?
when did,kerry run for president?
what's sweden's,currency?
what currency,does greece use?
who are,senators from utah?
what is,the zip code for georgetown ga?
who did,michael vick play for in 2008?
when was,the last shark attack in maui?
where was,the assyrian civilization located?
what did,baron de montesquieu die from?
who are,the current senators from illinois?
what inventions,did robert hooke made?
who plays,patrick jane wife?
what team,does derrick rose play for?
what countries,do new zealand export to?
what illness,did huell howser died of?
what car,models does gm make?
which legend,of zelda game is the first?
what nationality,is zack de la rocha?
what years,have the steelers won the super bowl?
what did,doc holliday die from?
what countries,does britain own?
what government,does france have?
where did,robin gibb die?
what countries,are on the mediterranean sea?
what languages,do they speak in russia?
